Census Tract ,CES 2.0 Score,CES 2.0 PR,Total Population,"California 
County",Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other (%)
6001400100,12.12,16-20%,2937,Alameda ,4,70.8,4.8,0.1,15.8,4.7
6001400200,9.11,6-10%,1974,Alameda ,7.6,78.3,1.6,0.1,7.4,5
6001400300,11.80,16-20%,4865,Alameda ,8.2,66.9,10.5,0.2,8.7,5.5
6001400400,11.80,16-20%,3703,Alameda ,9,65.5,12.1,0.1,7.5,5.9
6001400500,17.91,31-35%,3517,Alameda ,9.7,50.6,26.5,0.5,6,6.8
6001400600,16.66,31-35%,1571,Alameda ,8,42.7,39.1,0.3,5.1,4.7
6001400700,27.47,56-60%,4206,Alameda ,10.4,29.5,49.2,0.3,6.3,4.3
6001400800,25.48,51-55%,3594,Alameda ,10.2,31.6,40.7,0.4,12.1,5
6001400900,21.17,41-45%,2302,Alameda ,13.3,31,43.7,0.3,5.8,6
6001401000,31.25,66-70%,5678,Alameda ,14.2,22.3,50.2,0.4,7.6,5.4
6001401100,24.35,51-55%,4156,Alameda ,12.6,46.5,23.5,0.5,10.8,6.3
6001401200,15.64,26-30%,2416,Alameda ,9.4,58.4,17.4,0.2,9.4,5.2
6001401300,37.92,76-80%,3528,Alameda ,13.8,26.4,35.6,0.3,19.4,4.5
6001401400,40.77,81-85%,4314,Alameda ,21.1,15.2,48.4,0.6,10,4.6
6001401500,33.22,66-70%,2630,Alameda ,15.4,20,52.9,0.1,7.6,3.9
6001401600,36.44,71-75%,2163,Alameda ,20.8,16.2,46.5,0.7,12,3.8
6001401700,38.66,76-80%,2667,Alameda ,25.6,25.9,33.1,0.4,10.2,4.6
6001401800,31.34,66-70%,1703,Alameda ,19.3,15,57.4,0.3,3.4,4.7
6001402200,32.71,66-70%,2385,Alameda ,30.2,16.3,36.4,0.3,11.5,5.4
6001402400,39.03,76-80%,2351,Alameda ,9.4,12.6,57.8,0.5,14.3,5.5
6001402500,41.01,81-85%,1784,Alameda ,4.5,8.1,66.8,0.4,16.5,3.6
6001402600,41.70,81-85%,1151,Alameda ,5.7,11.3,29.5,0.3,50.7,2.5
6001402700,38.76,76-80%,1569,Alameda ,15.5,12.7,56.2,0.1,10.3,5.3
6001402800,39.61,76-80%,3345,Alameda ,8.3,23.7,41.2,0.6,21.5,4.7
6001402900,33.59,66-70%,1434,Alameda ,9.6,23.5,20.2,0.1,43.3,3.4
6001403000,43.79,86-90%,2788,Alameda ,1.3,4.2,4.4,0.1,88.3,1.6
6001403100,30.44,61-65%,2238,Alameda ,14.3,18.2,30.3,0.2,33.8,3.1
6001403300,30.42,61-65%,4054,Alameda ,6,25.4,11.2,0.2,54,3.2
6001403400,29.72,61-65%,4146,Alameda ,9.3,32.6,19.7,0.3,32.7,5.3
6001403501,30.03,61-65%,4374,Alameda ,10.1,31.3,27.9,0.4,24,6.4
6001403502,15.59,26-30%,1991,Alameda ,12.2,44.2,26.6,0.4,11,5.8
6001403600,16.80,31-35%,4482,Alameda ,9.7,34.4,37.9,0.2,12.3,5.5
6001403701,11.50,16-20%,2587,Alameda ,9.1,49.7,21,0.4,13.8,5.9
6001403702,15.30,26-30%,1724,Alameda ,8.6,56.7,18.1,0.2,10,6.4
6001403800,8.53,6-10%,3461,Alameda ,8.4,62.9,9.7,0.2,13.5,5.4
6001403900,12.65,16-20%,3584,Alameda ,9,55.4,16,0.4,13.6,5.5
6001404000,11.70,16-20%,2819,Alameda ,10.8,57.3,14.2,0.2,11.6,5.8
6001404101,10.89,11-15%,2929,Alameda ,9.4,67.6,6.2,0.1,11.7,5.1
