"CalEnviroScreen 3.0, June 2018 update:",,,,
"For more information, see the report and access additional data at:",,,,
CalEnviroScreen 3.0 Webpage,,,,
A web map of the CalEnviroScreen 3.0 results is available at:,,,,
CalEnviroScreen 3.0 Web Map,,,,
,,,,
Variable Name,Description,CalEnviroScreen Category,,
Census Tract,Census Tract ID from 2010 Census,,,
Total Population,2010 population in census tracts ,,,
California County,California county that the census tract falls within,,,
ZIP,Postal ZIP Code that the census tract falls within,,,
"Nearby City 
(to help approximate location only)",City or nearby city the  census tract falls within,,,
Longitude,Longitude of the centroid of the census tract,,,
Latitude,Latitude of the centroid of the census tract,,,
CES 3.0 Score,"CalEnviroScreen Score, Pollution Score multiplied by Population Characteristics Score",,,
CES 3.0 Percentile,Percentile of the CalEnviroScreen score,,,
 CES 3.0 Percentile Range,"Percentile of the CalEnviroScreen score, grouped by 5% increments ",,,
SB 535 Disadvantaged Community,"Disadvantaged communities list from:
https://oehha.ca.gov/calenviroscreen/sb535
http://www.calepa.ca.gov/EnvJustice/GHGInvest/ ",,,
Ozone,Amount of daily maximum 8 hour Ozone concentration ,Pollution Burden (Exposures Indicator),,
Ozone Pctl,Ozone percentile,Pollution Burden (Exposures Indicator),,
PM2.5,Annual mean PM 2.5 concentrations,Pollution Burden (Exposures Indicator),,
PM2.5 Pctl,PM2.5 percentile,Pollution Burden (Exposures Indicator),,
Diesel PM,Diesel PM emissions from on-road and non-road sources,Pollution Burden (Exposures Indicator),,
Diesel PM Pctl,Diesel PM percentile,Pollution Burden (Exposures Indicator),,
Drinking Water,Drinking water contaminant index for selected contaminants,Pollution Burden (Exposures Indicator),,
Drinking Water Pctl,Drinking water percentile,Pollution Burden (Exposures Indicator),,
Pesticides,Total pounds of selected active pesticide ingredients (filtered for hazard and volatility) used in production-agriculture per square mile in the census tract,Pollution Burden (Exposures Indicator),,
Pesticides Pctl,Pesticides percentile,Pollution Burden (Exposures Indicator),,
Tox. Release,Toxicity-weighted concentrations of modeled chemical releases to air from facility emissions and off-site incineration (from RSEI),Pollution Burden (Exposures Indicator),,
Tox. Release Pctl,Toxic release percentile,Pollution Burden (Exposures Indicator),,
Traffic,"Traffic density, in vehicle-kilometers per hour per road length, within 150 meters of the census tract boundary",Pollution Burden (Exposures Indicator),,
Traffic Pctl,Traffic percentile,Pollution Burden (Exposures Indicator),,
Cleanup Sites,"Cleanup sites, sum of weighted EnviroStor cleanup sites within buffered distances to populated blocks of census tracts",Pollution Burden (Environmental Effects Indicator),,
Cleanup Sites Pctl,Cleanup sites percentile,Pollution Burden (Environmental Effects Indicator),,
Groundwater Threats,"Groundwater threats, sum of weighted GeoTracker leaking underground storage tank sites  within buffered distances to populated blocks of census tracts",Pollution Burden (Environmental Effects Indicator),,
Groundwater Threats Pctl,Groundwater threats percentile,Pollution Burden (Environmental Effects Indicator),,
Haz. Waste,Sum of weighted hazardous waste facilities and large quantity generators within buffered distances to populated blocks of census tracts,Pollution Burden (Environmental Effects Indicator),,
Haz. Waste Pctl,Hazardous waste percentile,Pollution Burden (Environmental Effects Indicator),,
Imp. Water Bodies,"Impaired water bodies, sum of number of pollutants across all impaired water bodies within buffered distances to populated blocks of census tracts",Pollution Burden (Environmental Effects Indicator),,
Imp. Water Bodies Pctl,Impaired water bodies percentile,Pollution Burden (Environmental Effects Indicator),,
Solid Waste,Sum of weighted solid waste sites and facilities (SWIS) within  buffered distances to populated blocks of census tracts,Pollution Burden (Environmental Effects Indicator),,
Solid Waste Pctl,Solid waste percentile,Pollution Burden (Environmental Effects Indicator),,
Pollution Burden,Average of percentiles from the Pollution Burden indicators (with a half weighting for the Environmental Effects indicators),,,
Pollution Burden Score,Pollution Burden variable scaled with a range of 0-10. (Used to calculate CES 3.0 Score),,,
Pollution Burden Pctl,Pollution burden percentile,,,
Asthma,Age-adjusted rate of emergency department visits for asthma,Population Characteristics (Sensitive Populations),,
Asthma Pctl,Asthma percentile,Population Characteristics (Sensitive Populations),,
Low Birth Weight,Percent low birth weight,Population Characteristics (Sensitive Populations),,
Low Birth Weight Pctl,Low birth weight percentile,Population Characteristics (Sensitive Populations),,
Cardiovascular Disease ,"Age-adjusted rate of emergency department visits for heart attacks per 10,000",Population Characteristics (Sensitive Populations),,
Cardiovascular Disease Pctl,Cardiovascular disease percentile,Population Characteristics (Sensitive Populations),,
Education,Percent of population over 25 with less than a high school education,Population Characteristics (Socioeconomic Factors),,
Education Pctl,Education percentile,Population Characteristics (Socioeconomic Factors),,
Linguistic Isolation,Percent limited English speaking households,Population Characteristics (Socioeconomic Factors),,
Linguistic Isolation Pctl,Linguistic isolation percentile,Population Characteristics (Socioeconomic Factors),,
Poverty,Percent of population living below two times the federal poverty level,Population Characteristics (Socioeconomic Factors),,
Poverty,Poverty percentile,Population Characteristics (Socioeconomic Factors),,
Unemployment,Percent of the population over the age of 16 that is unemployed and eligible for the labor force,Population Characteristics (Socioeconomic Factors),,
Unemployment Pctl,Unemployment percentile,Population Characteristics (Socioeconomic Factors),,
Housing Burden,Percent housing burdened low income households,Population Characteristics (Socioeconomic Factors),,
Housing Burden Pctl,Housing burden percentile,Population Characteristics (Socioeconomic Factors),,
Pop. Char. ,Average of percentiles from the Population Characteristics indicators,,,
Pop. Char. Score,Population Characteristics variable scaled with a range of 0-10. (Used to calculate CES 3.0 Score),,,
Pop. Char. Score Pctl,Population characteristics percentile,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
, ,,,
