"Demographic data (total population, age groups and race/ethnicity) by census tract were extracted from the 2018 American Community Survey.",,,,,,,,,,,,,,,
Census Tract , DRAFT CES 4.0 Score,DRAFT CES 4.0 Percentile,"DRAFT CES 4.0 
Percentile Range",2018 Total Population,"California 
County",Children < 10 years (%) ,Pop 10-64 years (%),Elderly > 65 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Pacific Islander (%),Other/Multiple (%)
6019001100,94.61,100.00,95-100% (highest scores),2760,Fresno ,19.2,72.2,8.6,73.7,2.9,20.0,0.1,0.9,0.0,2.5
6077000700,90.83,99.99,95-100% (highest scores),4177,San Joaquin,10.8,77.9,11.3,70.6,4.6,5.8,0.0,15.9,0.0,3.0
6077000100,85.75,99.97,95-100% (highest scores),4055,San Joaquin,17.6,70.3,12.1,52.6,11.7,22.5,0.7,9.3,1.1,2.2
6071001600,83.56,99.96,95-100% (highest scores),5527,San Bernardino,15.0,79.0,6.0,96.3,1.7,0.3,0.0,0.2,0.0,1.4
6037204920,82.90,99.95,95-100% (highest scores),2639,Los Angeles,13.3,73.1,13.6,96.4,2.6,1.0,0.0,0.0,0.0,0.0
6019000700,80.82,99.94,95-100% (highest scores),3646,Fresno ,13.4,74.3,12.4,66.6,3.3,21.9,0.2,5.7,0.0,2.3
6019001000,80.24,99.92,95-100% (highest scores),4231,Fresno ,23.4,69.9,6.7,59.7,2.2,19.9,0.3,16.4,0.0,1.6
6077000300,80.02,99.91,95-100% (highest scores),2240,San Joaquin,18.9,64.9,16.2,54.3,13.0,17.9,0.0,13.7,0.0,1.1
6019000200,79.89,99.90,95-100% (highest scores),2870,Fresno ,18.7,72.1,9.2,67.4,5.3,14.5,0.6,11.0,0.9,0.2
6065030502,78.85,99.89,95-100% (highest scores),2092,Riverside ,15.2,78.5,6.3,86.3,8.0,4.3,0.0,0.0,0.0,1.3
6037226002,78.56,99.87,95-100% (highest scores),1754,Los Angeles,5.6,89.9,4.6,42.5,31.9,12.2,0.0,7.1,0.0,6.2
6037206050,78.23,99.86,95-100% (highest scores),2010,Los Angeles,9.4,61.6,29.0,77.1,6.3,5.6,0.3,9.1,0.0,1.6
6037531302,77.40,99.85,95-100% (highest scores),6142,Los Angeles,15.9,75.2,9.0,98.7,1.3,0.0,0.0,0.0,0.0,0.0
6019001202,77.32,99.84,95-100% (highest scores),4934,Fresno ,20.8,70.5,8.7,74.1,1.9,6.6,0.0,16.8,0.0,0.6
6019000400,77.09,99.82,95-100% (highest scores),5958,Fresno ,18.0,75.6,6.3,80.1,7.1,1.8,0.4,10.6,0.0,0.1
6037536104,77.04,99.81,95-100% (highest scores),4072,Los Angeles,16.8,73.7,9.5,92.4,2.9,3.1,0.0,0.4,0.6,0.5
6037543202,76.92,99.80,95-100% (highest scores),5442,Los Angeles,19.3,73.0,7.7,80.1,0.7,14.4,0.0,1.6,3.1,0.1
6037532302,76.72,99.79,95-100% (highest scores),4819,Los Angeles,14.6,73.0,12.4,98.2,0.7,0.6,0.0,0.2,0.0,0.2
6077001900,75.99,99.77,95-100% (highest scores),4969,San Joaquin,19.0,72.4,8.6,75.9,6.7,15.9,0.0,0.3,0.0,1.3
6037203300,75.98,99.76,95-100% (highest scores),1982,Los Angeles,7.3,83.4,9.4,68.0,2.4,14.3,0.0,8.7,0.3,6.3
6037239330,75.70,99.75,95-100% (highest scores),2689,Los Angeles,16.2,78.3,5.5,91.3,0.5,7.6,0.0,0.0,0.0,0.6
6019000902,75.56,99.74,95-100% (highest scores),4791,Fresno ,30.2,58.8,11.0,71.5,1.4,13.4,0.0,11.7,0.0,2.0
6037291220,75.25,99.72,95-100% (highest scores),3647,Los Angeles,13.5,74.4,12.0,70.0,5.3,7.3,0.0,16.0,0.0,1.3
6037535400,75.07,99.71,95-100% (highest scores),3345,Los Angeles,15.1,77.6,7.3,90.8,0.7,6.6,0.0,1.5,0.0,0.4
6019001201,74.90,99.70,95-100% (highest scores),5532,Fresno ,23.4,71.3,5.4,81.0,3.5,3.7,1.8,9.8,0.0,0.2
6037227010,74.85,99.68,95-100% (highest scores),5552,Los Angeles,19.9,74.4,5.6,91.9,0.7,6.2,1.1,0.0,0.0,0.0
6031001100,74.67,99.67,95-100% (highest scores),6999,Kings ,19.9,68.9,11.2,78.0,11.1,5.3,0.1,0.9,2.1,2.4
6037205120,74.56,99.66,95-100% (highest scores),3521,Los Angeles,14.7,76.9,8.4,95.5,1.3,2.2,0.0,1.0,0.0,0.0
6037291210,74.28,99.65,95-100% (highest scores),5488,Los Angeles,16.5,70.4,13.2,63.2,6.2,11.0,0.0,18.3,0.5,0.9
6029002500,74.27,99.63,95-100% (highest scores),9152,Kern ,20.5,71.8,7.7,73.8,9.2,15.0,0.0,0.3,0.0,1.6
6037433501,74.16,99.62,95-100% (highest scores),1870,Los Angeles,13.7,72.7,13.5,91.7,2.4,0.0,0.0,6.0,0.0,0.0
6037240500,73.81,99.61,95-100% (highest scores),7466,Los Angeles,18.3,75.6,6.1,72.6,0.0,26.0,0.0,0.0,0.0,1.5
6077003803,73.73,99.60,95-100% (highest scores),5979,San Joaquin,7.9,82.5,9.5,54.0,20.2,13.0,0.8,9.3,0.5,2.2
6037226001,73.59,99.58,95-100% (highest scores),2531,Los Angeles,20.3,74.0,5.7,90.3,0.2,9.1,0.4,0.0,0.0,0.0
6037534202,73.31,99.57,95-100% (highest scores),5499,Los Angeles,14.4,77.2,8.4,93.2,6.0,0.2,0.0,0.5,0.0,0.0
6037533806,73.29,99.56,95-100% (highest scores),3820,Los Angeles,19.7,73.5,6.8,95.2,1.0,3.2,0.0,0.6,0.0,0.0
6037239202,73.14,99.55,95-100% (highest scores),5682,Los Angeles,19.0,77.2,3.8,86.5,0.3,12.2,0.8,0.0,0.0,0.2
6037243100,73.13,99.53,95-100% (highest scores),6490,Los Angeles,22.7,70.2,7.1,63.9,2.5,33.3,0.0,0.1,0.0,0.2
6037542402,73.09,99.52,95-100% (highest scores),3217,Los Angeles,13.6,75.8,10.7,65.8,0.6,33.1,0.0,0.6,0.0,0.0
6037570403,73.07,99.51,95-100% (highest scores),4893,Los Angeles,24.5,70.2,5.3,81.6,2.5,8.7,0.0,6.3,0.0,0.9
6029002200,73.04,99.50,95-100% (highest scores),5038,Kern ,26.9,66.0,7.1,71.3,2.1,22.9,1.0,0.7,1.8,0.2
6037239201,73.02,99.48,95-100% (highest scores),3913,Los Angeles,17.4,77.6,5.0,79.0,0.7,19.9,0.1,0.0,0.0,0.4
6037434004,73.02,99.47,95-100% (highest scores),2948,Los Angeles,12.6,78.7,8.7,92.9,1.6,0.0,0.0,5.4,0.0,0.0
6019000300,72.77,99.46,95-100% (highest scores),3936,Fresno ,21.1,67.5,11.5,63.3,7.9,21.5,0.2,3.3,0.6,3.2
6037433101,72.25,99.45,95-100% (highest scores),2360,Los Angeles,7.5,72.1,20.3,50.6,1.7,0.0,0.2,47.0,0.0,0.4
6037542401,72.08,99.43,95-100% (highest scores),4630,Los Angeles,13.3,76.7,10.0,63.8,0.7,31.6,0.0,1.4,0.0,2.5
6037542200,71.87,99.42,95-100% (highest scores),7539,Los Angeles,18.1,73.8,8.0,75.1,0.9,22.7,0.0,0.0,0.0,1.4
6037534201,71.81,99.41,95-100% (highest scores),4785,Los Angeles,21.7,70.7,7.6,95.1,3.4,0.8,0.3,0.3,0.0,0.1
6077000801,71.79,99.39,95-100% (highest scores),7352,San Joaquin,20.2,73.8,6.0,67.7,5.3,5.4,0.0,14.7,1.2,5.6
